dmnt_topic,pct_contrib,reviewText,main_cat,category,brand,document,word_cnt,overall
7,0.2836999893188477,I have used the older little giant ladders so I knew what I was getting.  Good construction.  The newer style plastic handles on the locking mechanism are pretty nice and the addition of wheels I also liked for ease of use.  I really have no complaints other than I think they should include the brackets that you need to make the scaffolding sections.. Not sure I will ever use them but would be nice to have for the price,Tools & Home Improvement,27,Little Giant Ladder Systems,used older little giant ladder knew getting good construction newer style plastic handle locking mechanism pretty nice addition wheel also liked ease really complaint think include bracket need make scaffolding section sure ever would nice price,79,4.0
13,0.8066999912261963,Very nice. I do not know how long they will last yet.,Tools & Home Improvement,27,Maxxima,nice know long last,12,5.0
19,0.21130000054836276,"Easy install once I threw away the instructions that came with the timer, and used the simplified installation diagram that Amazon provided online.  Works well for this purpose, although it gets hot when operating and blurs out the small LCD display.  Since weather is not a concern (it's installed inside our pump house) I drilled a few holes in the top of the box to release some of the heat and that solved the problem.",Tools & Home Improvement,27,Intermatic,easy install threw away instruction came timer used simplified installation diagram amazon provided online work well purpose although get operating blur small display since weather concern installed inside pump house drilled hole release heat solved problem,75,4.0
27,0.40709999203681946,"Good quality blade at a fair price.  Fit my off-brand 14"" saw with no issues.  Very sharp.  Nice upgrade from the OEM blade.",Tools & Home Improvement,27,OLSON SAW,good quality blade fair price brand issue sharp nice upgrade blade,23,5.0
25,0.2937999963760376,"Pros: - None  Cons: - the circular sheets of very 1/8"" thick glass is held by one (1) small screw at one edge of the glass. Safety (risk of falling) should be a concern as it does not feel like it can handle amount of vibration. Those living in areas prone to earthquakes are advised to stay away from this product. There are not enough screws to prevent the glass from cracking and falling down.  - low/cheap quality; light shade is made from thin plastic coated with frosted paint that rubs off easily.  - As the shades are supported as cantilevers, the sagging at the extreme ends is noticeable.",Tools & Home Improvement,27,LOCO LAMP,pro none con circular sheet thick glass held small screw edge glass safety risk falling concern doe feel like handle amount vibration living area prone earthquake advised stay away product enough screw prevent glass cracking falling cheap quality light shade made thin plastic coated frosted paint rub easily shade supported cantilever sagging extreme end noticeable,109,1.0
8,0.5134999752044678,"This light is really bright and could be used for just about anything. Great for the boat, truck, tent, car, camping bag or any emergency supplies. I will be buying more.",Tools & Home Improvement,27,Rayovac,light really bright could used anything great boat truck tent camping emergency supply buying,31,5.0
27,0.5167000293731691,They are great for the hearing impaired.,Tools & Home Improvement,27,Honeywell,great hearing impaired,7,5.0
8,0.717199981212616,"Was broken right out of the box. Fortunately, I also ordered another model to see which was better (Super Bright 15 LED Wireless Auto PIR Sensitive Motion Sensor Activated Light - White)",Tools & Home Improvement,27,SE,broken right fortunately also ordered another model better super bright wireless auto sensitive motion sensor activated light white,32,1.0
0,0.3537999987602234,"Nice wrench set and I love the holder - actually I bought it because I wanted my wrenches to hang on the wall in a nice neat order. This did the trick perfectly. The wrenches themselves feel pretty good and time will tell how good they are but for home use, they should be just fine.",Tools & Home Improvement,27,TEKTON,nice wrench love holder actually bought wanted wrench hang wall nice neat order trick perfectly wrench feel pretty good time tell good home fine,56,5.0
23,0.6597999930381775,"These blades cut ss good as any, and last 2-4 times longer than any other brands I have used.",Tools & Home Improvement,27,Diablo,blade good last time longer brand used,19,5.0
15,0.41940000653266907,"As others have commented only a couple of spot welds holding it together, use on soft soil only. For pre-tilled garden work it would be fine. I planne don mig welding it better. I bought the heavy duty version  the only difference for the HD version is a square chunk of metal about 3/16"" thick by 1/2"" wide x 1"" long that's tack welded onto the leading edge of the auger bit. For $50 more the HD version is just a plain rip-off. I mean $10 more maybe but $50 is a rip-off. Thus the 3 stars",Amazon Home,25,Power Planter,others commented couple spot weld holding together soft soil tilled garden work would fine planne welding better bought heavy duty version difference version square chunk metal thick wide long that's tack welded onto leading edge auger version plain mean maybe thus star,97,3.0
1,0.6777999997138977,"NOT WHAT I EXPECTED IT DID NOT FIT ANY OF MY SOCKETS, MY FALT I GESS",Tools & Home Improvement,27,Satco,expected socket falt ge,16,1.0
4,0.4492999911308289,REALLY really dark glasses; perfect for looking directly at solar eclipses!,All Electronics,18,Eclipser,really really dark glass perfect looking directly solar eclipse,11,5.0
23,0.4842999875545502,"This is a great product, bright, sturdy construction and tight fit.  Excellent for building searches and home defense as it completely lights up a dark room.  At less than half the price of the competitor, you really can't go wrong.",Tools & Home Improvement,27,Streamlight,great product bright sturdy construction tight excellent building search home defense completely light dark room le half price competitor really can't wrong,40,5.0
19,0.8065999746322632,These replaced some with a bad pump  Super Happy,Tools & Home Improvement,27,Harrahs,replaced pump super happy,9,5.0
19,0.5264000296592712,Worked all winter while submerged in our pool.,Tools & Home Improvement,27,Superior Pump,worked winter submerged pool,8,5.0
3,0.3934000134468079,I have had this for little while now and have had the opportunity to use it a good amount. I really like this. It works wonderfully.,Automotive,23,Bon-Aire,little opportunity good amount really like work wonderfully,26,5.0
0,0.5755000114440918,Nice screwdrivers.  I wish there were more sizes available.,Tools & Home Improvement,27,Bondhus,nice screwdriver wish size available,9,4.0
8,0.3287000060081482,"I bought it in November. Didn't get around to using it until February. It doesn't work. The connection to the battery is erratic so sometimes the light works and sometimes it doesn't. If I had not waited so long to  unwrap it, I would have returned it. As it is, it resides in the recycling bin.",Sports & Outdoors,26,Weh,bought november around using february work connection battery erratic sometimes light work sometimes waited long unwrap would returned resides recycling,56,2.0
14,0.5899999737739563,I wanted the Edison type looking bulb for my 2 new kitchen ceiling light fixtures.  They look great!,Tools & Home Improvement,27,CRLight,wanted edison type looking bulb kitchen ceiling light fixture look great,18,5.0
19,0.5619000196456909,Used this to replace a normal 3 switch plate for a 2 switch and one Wemo set up. Fits perfectly.,Tools & Home Improvement,27,Leviton,used replace normal switch plate switch wemo fit perfectly,20,5.0
0,0.6414999961853027,it is a long handle very sturdy and tought,Tools & Home Improvement,27,Warner Manufacturing,long handle sturdy tought,9,4.0
6,0.38569998741149897,"Great vest, but the sizes run big. I normally wear Large sized shirts and sweaters, but I am a Medium in size for this vest, and it still fits loose enough to wear over a jacket or coat. Originally, I ordered an XL to make sure I had some extra room for a coat, but the best fit way too big. Other than the sizing issue, this is a great vest with plenty of pockets, breathable, mesh material, and overall it looks sharp. There's a place for everything in this vest and the price is right.",Industrial & Scientific,24,ML Kishigo,great vest size normally wear large sized shirt sweater medium size vest still fit loose enough wear jacket coat originally ordered make sure extra room coat best sizing issue great vest plenty pocket breathable mesh material overall look sharp there's place everything vest price right,96,5.0
7,0.22030000388622284,"This stand does what it's supposed to do.  The foot-activated locking mechanism works nicely.  Mine has a middle shelf which is not pictured.  That being said, it isn't the most efficient use of space, if I had to do it again, I would just make my own cabinet, so I could add drawers for other tools.",Tools & Home Improvement,27,DEWALT,stand doe supposed foot activated locking mechanism work nicely mine middle shelf pictured said efficient space would make cabinet could drawer tool,56,3.0
28,0.7332999706268309,Bought as a replacement for my original that had a broken button. Installed in minutes and worked right away.,Tools & Home Improvement,27,LiftMaster,bought replacement original broken button installed minute worked right away,19,5.0
12,0.2992999851703644,"I bought this for punching holes in pennies for jewelry and art projects. It definitely works! It is very heavy so be very careful with your fingers. I'm pretty strong, but this definitely requires some strength. I am only giving it 4 stars because I've had two guy friends try punching a hole on the same type of coin and they both found it a little hard. So, it's not easy if you're a female and have long nails. I do recommend it! It's easier than drilling a hole, that's for sure!",Tools & Home Improvement,27,CVF Supply,bought punching hole penny jewelry project definitely work heavy careful finger pretty strong definitely requires strength giving star i've friend punching hole type coin found little hard easy female long nail recommend easier drilling hole that's sure,92,4.0
26,0.6777999997138977,IDK...did not work with my 9 pin remote.,Tools & Home Improvement,27,Transmitter Solutions,work remote,8,2.0
25,0.4266999959945679,"Good starter glasses, scratch really easy but protect my eyes well, once scratched hard to see through so I go through about a pair a week. Using to protect against metal cutting",Tools & Home Improvement,27,3M,good starter glass scratch really easy protect eye well scratched hard pair week using protect metal cutting,32,5.0
7,0.3282999992370605,damn this is power in a small package,Tools & Home Improvement,27,DEWALT,damn power small package,8,5.0
