dmnt_topic,pct_contrib,reviewText,main_cat,category,brand,document,word_cnt,overall
0,0.9628000259399414,Nice sets of wrenches but I have an issue with the Standard set holder. The markings on the holder to identify the sizes do not line up with the appropriate wrench. The Metric set is excellent. On both sets you must move wrenches to remove the size you require. The wrenches are excellent but the holders are not.,Tools & Home Improvement,27,Stanley Hand Tools,nice set wrench issue standard holder marking holder identify size line appropriate wrench metric excellent set must move wrench remove size require wrench excellent holder,58,4.0
0,0.9628000259399414,"This lugnut kit is well made and comes in a nice solid case. It is quality made in Taiwan, not China. The 1/2"" square drive shaft snaps into the middle section of each socket, which allows two lugnut sizes per socket. I tried the sockets on all of our cars and they fit every wheel.",Tools & Home Improvement,27,Ingersoll-Rand,lugnut well made come nice solid case quality made taiwan china square drive shaft snap middle section socket allows lugnut size socket tried socket car every wheel,55,5.0
0,0.9613000154495239,"Very nice to have with the impact wrench, those things are wonderful. A tool set is not complete without an impact wrench and the tools to go with it. Since they are magnetic that's nice because I only have two hands. It's hard to hold a screw and the item and the wrench. This makes it a whole lot easier!",Tools & Home Improvement,27,DEWALT,nice impact wrench thing wonderful tool complete without impact wrench tool since magnetic that's nice hand hard hold screw item wrench make whole easier,60,5.0
1,0.9829999804496765,NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER! NO POWER ADAPTER!,Tools & Home Improvement,27,Oak Leaf,power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter power adapter,84,2.0
1,0.9688000082969666,"Just right for getting some cumbersome AC adaptors off the plug strip, opening sockets for more plugs to be used.  Also, when not used simply to give distance to awkward plugs, the extensions can be plugged into each other to create quite a decent extension cord.  So, no need to have these plus an extension cord; just use these, if you have several not otherwise in use.",Tools & Home Improvement,27,Melca,right getting cumbersome adaptor plug strip opening socket plug used also used simply give distance awkward plug extension plugged create quite decent extension cord need plus extension cord several otherwise,67,5.0
1,0.96670001745224,"Larger than I expected, but I understand why: plenty of room for plug mounted adapters.  The only thing I wish is that it would split the 6 sockets into two groups of 3, and use both outlets, instead of just the upper one.  I have a few rooms with switched outlets, and I would have liked to use this in those locations.  Instead, I went with the ""hug-a-plug""s, which are more expensive, but do what I want.",Tools & Home Improvement,27,GE,larger expected understand plenty room plug mounted adapter thing wish would split socket group outlet instead upper room switched outlet would liked location instead went plug expensive want,77,5.0
2,0.9577999711036682,"Big bit used with Bosch 1617EVS 2 1/4 hp.  Use it on Tigerwood, Brazillian Cherry, and VG Fir with no issues.  I took two passes on the expensive wood to make sure but did try single passes on the Fir even tried end grain passes on the Fir with excellent results - but don't recommend it if you to not have to.  Excellent bit that will stay in my quiver.",Tools & Home Improvement,27,Freud,used bosch 1617evs tigerwood brazillian cherry issue took pass expensive wood make sure single pass even tried grain pass excellent result recommend excellent stay quiver,70,5.0
2,0.9463000297546387,"Powerful and has all the attachments I need in a wood shop.  Floor attachment makes my shop now always clean in minutes, not 30-40 minutes.  Love it and it gets used often.",Tools & Home Improvement,27,Vacmaster,powerful attachment need wood shop floor attachment make shop always clean minute minute love get used often,32,5.0
2,0.9394999742507935,I've used this for cleaning mortar and knocking the lips off retaining wall blocks. Works great. Easily sharpens on my bench grinder.,Tools & Home Improvement,27,DEWALT,i've used cleaning mortar knocking lip retaining wall block work great easily sharpens bench grinder,22,5.0
3,0.9731000065803528,This is a nice little knife and I do mean little. It's a lot smaller than I thought but I'm still pretty happy. I have a larger identical one that I use for deer hunting that is awesome very sharp. This one is quite sharp also this would make a great edc if you want a little on the small side knife to carry. You wouldn't even know it was in your pocket. I recommend and would buy again if I wanted a really small knife.,Tools & Home Improvement,27,Outdoor Edge,nice little knife mean little smaller thought still pretty happy larger identical deer hunting awesome sharp quite sharp also would make great want little small side knife carry even know pocket recommend would wanted really small knife,86,4.0
